id,recipe_id,ingredient_id,quantity,unit,notes,created_at,updated_at
791,51,376,250.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
792,51,11,20.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
793,51,99,1.0,quả,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
794,51,30,10.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
795,51,737,30.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
796,51,19,30.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
797,51,313,30.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
798,51,306,20.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
799,51,413,20.0,ml,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
800,51,66,0.5,muỗng cà phê,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
807,53,99,300.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
808,53,461,100.0,g,,Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:37:04 GMT+0700 (Indochina Time)
