hot_rank,original_rank,ingredient,group,recipe_count,keyword,keyword_ascii,google_trends_hot_score,relative_to_anchor,trends_batch_avg_interest,anchor_batch_avg_interest,trends_max_interest,nonzero_points,data_points,status,trends_url
26,1,Đầu Ăn,Dầu ăn,1160,dầu ăn,dau an,1.28,1.0,1.0,1.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BA%A7u+%C4%83n&hl=vi-VN
1,2,Đường,Gia vị,1106,đường,duong,100.0,78.0,78.0,1.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%C4%91%C6%B0%E1%BB%9Dng&hl=vi-VN
2,3,Tiêu,Gia vị,1091,tiêu,tieu,35.9,28.0,28.0,1.0,39.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=ti%C3%AAu&hl=vi-VN
,4,Hành lá,Rau củ quả,1041,hành lá,hanh la,,,0.0,1.0,1.0,14,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=h%C3%A0nh+l%C3%A1&hl=vi-VN
17,5,Thịt bò,Thịt,947,thịt bò,thit bo,2.18,1.7,17.0,10.0,21.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+b%C3%B2&hl=vi-VN
13,6,Ớt,Gia vị,889,ớt,ot,3.21,2.5,25.0,10.0,28.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%E1%BB%9Bt&hl=vi-VN
5,7,Muối,Gia vị,855,muối,muoi,8.72,6.8,68.0,10.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=mu%E1%BB%91i&hl=vi-VN
15,8,Tỏi,Gia vị,853,tỏi,toi,2.56,2.0,20.0,10.0,22.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%E1%BB%8Fi&hl=vi-VN
27,9,Thịt gà,Thịt,703,thịt gà,thit ga,1.28,1.0,,,,,,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+g%C3%A0&hl=vi-VN
23,10,Nước mắm,Nước chấm,541,nước mắm,nuoc mam,1.5,1.169811,62.0,53.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+m%E1%BA%AFm&hl=vi-VN
,11,Salad Roman,Thực phẩm chế biến sẵn,443,xà lách romaine,xa lach romaine,,,0.0,53.0,0.0,0,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=x%C3%A0+l%C3%A1ch+romaine&hl=vi-VN
31,12,Cà rốt,Rau củ quả,440,cà rốt,ca rot,0.87,0.679245,36.0,53.0,46.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A0+r%E1%BB%91t&hl=vi-VN
32,13,Hành tây,Rau củ quả,429,hành tây,hanh tay,0.87,0.679245,36.0,53.0,49.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%C3%A0nh+t%C3%A2y&hl=vi-VN
42,14,Sữa đặc,Sản phẩm từ sữa,296,sữa đặc,sua dac,0.52,0.408163,20.0,49.0,25.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=s%E1%BB%AFa+%C4%91%E1%BA%B7c&hl=vi-VN
21,15,Cà chua,Rau củ quả,276,cà chua,ca chua,1.7,1.326531,65.0,49.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A0+chua&hl=vi-VN
46,16,Tương Ớt,Nước chấm,256,tương ớt,tuong ot,0.39,0.306122,15.0,49.0,19.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C6%B0%C6%A1ng+%E1%BB%9Bt&hl=vi-VN
51,17,Rau Xà Lách,Rau củ quả,254,xà lách,xa lach,0.31,0.244898,12.0,49.0,19.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=x%C3%A0+l%C3%A1ch&hl=vi-VN
