hot_rank,original_rank,ingredient,group,recipe_count,keyword,keyword_ascii,google_trends_hot_score,relative_to_anchor,trends_batch_avg_interest,anchor_batch_avg_interest,trends_max_interest,nonzero_points,data_points,status,trends_url
23,1,Đầu Ăn,Dầu ăn,1160,dầu ăn,dau an,8.78,0.877551,43.0,49.0,75.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BA%A7u+%C4%83n&hl=vi-VN
44,2,Hành lá,Rau củ quả,1041,hành lá,hanh la,3.06,0.306122,15.0,49.0,26.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%C3%A0nh+l%C3%A1&hl=vi-VN
11,3,Thịt bò,Thịt,947,thịt bò,thit bo,16.73,1.673469,82.0,49.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+b%C3%B2&hl=vi-VN
20,4,Thịt gà,Thịt,703,thịt gà,thit ga,10.0,1.0,,,,,,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+g%C3%A0&hl=vi-VN
18,5,Nước mắm,Nước chấm,541,nước mắm,nuoc mam,11.63,1.163265,57.0,49.0,93.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+m%E1%BA%AFm&hl=vi-VN
,6,Salad Roman,Thực phẩm chế biến sẵn,443,xà lách romaine,xa lach romaine,,,0.0,78.0,2.0,1,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=x%C3%A0+l%C3%A1ch+romaine&hl=vi-VN
28,7,Cà rốt,Rau củ quả,440,cà rốt,ca rot,6.92,0.692308,54.0,78.0,68.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A0+r%E1%BB%91t&hl=vi-VN
29,8,Hành tây,Rau củ quả,429,hành tây,hanh tay,6.92,0.692308,54.0,78.0,74.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%C3%A0nh+t%C3%A2y&hl=vi-VN
39,9,Sữa đặc,Sản phẩm từ sữa,296,sữa đặc,sua dac,4.1,0.410256,32.0,78.0,39.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=s%E1%BB%AFa+%C4%91%E1%BA%B7c&hl=vi-VN
15,10,Cà chua,Rau củ quả,276,cà chua,ca chua,13.27,1.326531,65.0,49.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A0+chua&hl=vi-VN
45,11,Tương Ớt,Nước chấm,256,tương ớt,tuong ot,3.06,0.306122,15.0,49.0,19.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C6%B0%C6%A1ng+%E1%BB%9Bt&hl=vi-VN
49,12,Rau Xà Lách,Rau củ quả,254,xà lách,xa lach,2.45,0.244898,12.0,49.0,19.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=x%C3%A0+l%C3%A1ch&hl=vi-VN
42,13,Dưa chuột,Rau củ quả,205,dưa chuột,dua chuot,3.27,0.326531,16.0,49.0,26.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%C6%B0a+chu%E1%BB%99t&hl=vi-VN
81,14,Mè Rang,Ngũ cốc,195,mè rang,me rang,0.77,0.076923,6.0,78.0,8.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%C3%A8+rang&hl=vi-VN
48,15,Đầu Điều,Dầu ăn,175,dầu điều,dau dieu,2.82,0.282051,22.0,78.0,59.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BA%A7u+%C4%91i%E1%BB%81u&hl=vi-VN
30,16,Cần tây (Cần tàu),Rau củ quả,151,cần tây,can tay,6.79,0.679487,53.0,78.0,69.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BA%A7n+t%C3%A2y&hl=vi-VN
72,17,Bắp Ngô,Ngũ cốc,147,bắp ngô,bap ngo,1.15,0.115385,9.0,78.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%E1%BA%AFp+ng%C3%B4&hl=vi-VN
90,18,Húng Lủi,Rau củ quả,144,húng lủi,hung lui,0.27,0.026667,2.0,75.0,5.0,51,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%C3%BAng+l%E1%BB%A7i&hl=vi-VN
40,19,Đậu Hũ,Đậu & sản phẩm từ đậu,140,đậu hũ,dau hu,3.47,0.346667,26.0,75.0,33.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%C4%91%E1%BA%ADu+h%C5%A9&hl=vi-VN
78,20,Dầu mè,Dầu ăn,138,dầu mè,dau me,0.93,0.093333,7.0,75.0,10.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BA%A7u+m%C3%A8&hl=vi-VN
22,21,Thịt heo,Thịt,131,thịt heo,thit heo,9.47,0.946667,71.0,75.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+heo&hl=vi-VN
74,22,Tôm sú,Hải sản,127,tôm sú,tom su,1.11,0.111111,1.0,9.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m+s%C3%BA&hl=vi-VN
1,23,Cơm,Ngũ cốc,124,cơm,com,100.0,10.0,90.0,9.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C6%A1m&hl=vi-VN
,24,Cà chua bi,Rau củ quả,120,cà chua bi,ca chua bi,,,0.0,9.0,0.0,0,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A0+chua+bi&hl=vi-VN
12,25,Nước Dừa,Trái cây,119,nước dừa,nuoc dua,16.67,1.666667,15.0,9.0,21.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+d%E1%BB%ABa&hl=vi-VN
75,26,Rượu trắng,Thực phẩm chế biến sẵn,119,rượu trắng,ruou trang,1.05,0.105263,4.0,38.0,7.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=r%C6%B0%E1%BB%A3u+tr%E1%BA%AFng&hl=vi-VN
13,27,Dứa,Trái cây,111,dứa,dua,15.0,1.5,57.0,38.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BB%A9a&hl=vi-VN
53,28,Thịt ba chỉ,Thịt,108,thịt ba chỉ,thit ba chi,2.11,0.210526,8.0,38.0,10.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+ba+ch%E1%BB%89&hl=vi-VN
